"year","month","total_customer","total_customer_2"
"2023","1","46","664"
"2023","2","39","480"
"2023","3","44","582"
"2023","4","33","486"
"2023","5","41","492"
"2023","6","42","535"
"2023","7","38","348"
"2023","8","45","521"
"2023","9","40","449"
"2023","10","43","419"
"2023","11","40","246"
"2023","12","37","151"
"2024","1","43","339"
"2024","2","50","256"
"2024","3","42","325"
"2024","4","47","280"
"2024","5","49","311"
"2024","6","49","237"
"2024","7","44","284"
"2024","8","46","243"
"2024","9","38","251"
"2024","10","46","301"
"2024","11","23","81"
