"year","month","customer","time_in_hr","total_earned_in_$"
"2023","10","A001-AIRTE","18.68","4272"
"2023","8","A007-ATR","0.67","4980"
"2023","2","A012-ALADD","42.6","9603"
"2023","5","A012-ALADD","17.89","9538.98"
"2024","4","A012-ALADD","22.41","10072.47"
"2024","10","A012-ALADD","14.049999999999999","10299"
"2023","1","A014-ADF","736.04","518929"
"2023","12","A014-ADF","5.72","2269.8"
"2024","5","A014-ADF","11.27","4056"
"2023","1","A029-A&ECO","6.17","24142.9"
"2023","3","A029-A&ECO","3.83","30768"
"2023","6","A029-A&ECO","2.5","2242.5"
"2023","7","A029-A&ECO","4.33","2088"
"2024","9","A029-A&ECO","0.22","14889.720000000001"
"2024","10","A029-A&ECO","0","990"
"2023","5","A038-ADVST","7.84","2928"
"2023","10","A038-ADVST","0","5910.8"
"2024","1","A038-ADVST","0","17184"
"2024","2","A038-ADVST","0","18076.8"
"2024","9","A038-ADVST","0","5456.96"
"2023","1","A045-AFS","127.44","120017.28"
"2023","2","A045-AFS","28.630000000000003","126807.40000000001"
"2023","3","A045-AFS","245.36","390840"
"2023","4","A045-AFS","65.96","327260.74"
"2023","5","A045-AFS","40.62","153258.7"
"2023","6","A045-AFS","68.92999999999999","301950"
"2023","7","A045-AFS","83.05","293425"
"2023","8","A045-AFS","238.16000000000008","516088.99999999994"
"2023","9","A045-AFS","111.33","91289.6"
"2023","10","A045-AFS","147.69","250623.76"
"2023","11","A045-AFS","97.21999999999998","396660"
"2023","12","A045-AFS","0","2367.4"
"2024","1","A045-AFS","19.86","103230"
"2024","2","A045-AFS","106.52","265917.5"
"2024","3","A045-AFS","241.83","250446"
"2024","4","A045-AFS","226.13000000000008","609438"
"2024","5","A045-AFS","91.36","123207.89"
"2024","6","A045-AFS","20.28","328591.26"
"2024","7","A045-AFS","41.02000000000001","253270"
"2023","1","A050-ALLVA","0","3347"
"2023","2","A050-ALLVA","14","13792.949999999999"
"2023","7","A050-ALLVA","10","85002"
"2023","9","A050-ALLVA","14","80874"
"2023","10","A050-ALLVA","23.84","57395.64"
"2024","2","A050-ALLVA","2.67","12393.599999999999"
"2024","3","A050-ALLVA","2.17","53082.35999999999"
"2024","4","A050-ALLVA","19.5","35224.08"
"2024","5","A050-ALLVA","2.9","30161.899999999994"
"2024","6","A050-ALLVA","11.429999999999998","78212.43"
"2024","7","A050-ALLVA","4.300000000000001","42577.45000000001"
