"year","month","customer","time_in_hr","total_earned_in_$"
"2023","10","A001-AIRTE","18.68","4272"
"2023","8","A007-ATR","0.67","4980"
"2023","5","A012-ALADD","17.89","9538.98"
"2023","1","A014-ADF","736.04","518929"
"2023","6","A029-A&ECO","2.5","2242.5"
"2023","5","A038-ADVST","7.84","2928"
"2023","1","A045-AFS","127.44","120017.28"
"2023","9","A050-ALLVA","14","80874"
"2023","7","A053-AIRMA","90.14999999999999","412692.4899999987"
"2023","4","B002-BSAMA","0","18101.699999999997"
"2023","12","B005-BNCHM","1.33","706.04"
"2023","10","B025-BANKP","11.309999999999999","4897.5"
"2023","1","B032-","83.28999999999999","173880"
"2023","11","C005-CPELA","0","2440"
"2023","4","C006-C&DTE","40.74000000000001","219436.54999999978"
"2023","3","C026-CRDM","11.17","71571.59999999998"
"2023","11","C037-CHRKE","34.09","10839.6"
"2023","9","C040-CTSNK","55.67","47126.87999999999"
"2023","1","C048-C&CFA","1.83","0"
"2023","3","C054","1.6800000000000002","1245.2"
"2023","1","C057-CAGES","138.39","3121261.499999998"
"2023","7","C060-CREA","236.28999999999994","60501"
"2023","6","D002-DCRAF","0.67","3529.7999999999997"
"2023","10","D011-DAIKI","15.15","502346"
"2023","5","D015-DVSMA","0.17","668.7"
"2023","8","D017-D&M","14.5","4770"
"2023","12","E004-ENVPR","1.17","19612.8"
"2023","6","E014-ENGMF","0","6739.200000000001"
"2023","8","E023-ECI","19.5","7704"
"2023","7","E024-EMC","43.97","133420"
"2023","4","F015-FORDM","28.49","11400"
"2023","5","F017-FASTE","4.17","2720"
"2023","1","F023-FIVES","10.579999999999998","10309.040000000006"
"2023","11","H005-HAMES","0","6541.5"
"2023","2","H014-HEATE","25.729999999999997","398051.5"
"2023","9","H026-HUSSM","169.54999999999995","250404.76000000004"
"2023","3","H030-HARCO","10.17","121950.96000000004"
"2023","11","H031-HYPER","0","49228.19999999999"
"2023","12","J013-JLG","0","269.1"
"2023","10","K005-KGMFG","25.53","66914.67000000001"
"2023","1","K006-K&R","20.509999999999998","43063.5"
"2023","11","K007-KENWO","0","7920"
"2023","5","K008-KINGI","0","141.81"
"2023","2","K009-KOMAT","0","5050"
"2023","7","K016-KELVI","0.33","1013.64"
"2023","2","L005-LBGSY","52.19","33257.54000000001"
"2023","2","L010-LEGAC","0.5","3120"
"2023","2","L012-LOZIE","59.5","173299.24"
"2023","9","L017-LINCO","0","3700"
"2023","7","M026-MIURA","120.9","178591.4299999999"
"2023","5","M029-MHF","5.5","6897.5999999999985"
"2023","3","M030-MORGO","1821.1899999999994","4480151.160000007"
"2023","3","M036-MAGIC","3","1956"
"2023","3","M040-MORRI","4.05","71676.96000000002"
"2023","1","M044-MCFAB","0","6589.44"
"2023","9","M045-MILLE","34.9","206258.39999999985"
"2023","12","M046-METCO","46.26","27868.400000000005"
"2023","11","N008-NOVEL","0","1120"
"2023","5","N012-NICHF","0.52","4152.75"
"2023","3","N016-NANOL","41.220000000000006","131676.5"
"2023","10","N020-NEXT","0.83","10946"
"2023","3","P009-PROTE","0","1326.75"
"2023","5","P013-PENSA","67.64","432642.81999999995"
"2023","7","P014-PRMPT","0","3200"
"2023","3","P023-PRTNL","0","1275"
"2023","5","P025-PROCB","0","1924.8"
"2023","11","P031-PURSU","0.33","15400"
"2023","6","R023-ROBNS","10.209999999999999","50620.31999999998"
"2023","3","R024-RAINB","8.16","29378.879999999994"
"2023","2","R029-RUSTI","9.36","6000"
"2023","9","S001-SISKI","9.34","5025"
"2023","9","S002-SREIL","419.73","338208.47000000015"
"2023","2","S025-SAKAI","1022.1799999999996","3356914.0000000317"
"2023","12","S028-SAWTR","309.62000000000006","623310.6900000003"
"2023","12","S038-STLKI","30.229999999999997","85811.43"
"2023","5","S039-SMI","84.20000000000002","174847.97999999984"
"2023","12","S046-SPOC","60.580000000000005","108220.84000000005"
"2023","1","T011-T&RFI","1.5","111181.94999999994"
"2023","5","T026-TALOS","1.34","2772.96"
"2023","6","T040-TURBO","67.08","60360"
"2023","1","T042-TRIAN","0","382.14"
"2023","1","T049-TRU-C","1.35","0"
"2023","6","U002-UENRT","0","1996"
"2023","4","U013-ULTIM","0","27000"
"2023","8","V004-VIBRO","39.1","4236"
"2023","1","V006-VONGA","2.0100000000000002","57733.39999999998"
"2023","8","V007-VNDRL","585.14","583803.1900000001"
"2023","11","V008-VT&M","2.33","11266.060000000001"
"2023","10","V009-VERME","1.19","2532"
"2023","8","W004-WESLE","1.17","391.79999999999995"
"2023","3","W006-WELD","19.24","61845"
"2023","5","W007-WAHSE","138.81","88420.79999999997"
"2023","2","Y001-YOKOG","0.35","5726.599999999999"
"2023","8","Y002-YNGTC","1242.1999999999994","25438839.050000202"
