omp_customer_organization_id,omp_order_date,omp_order_total_base
A050-ALLVA,1/2/2023 0:00,1305
F022-F&D,1/2/2023 0:00,15584.8
F022-F&D,1/2/2023 0:00,878.6
F022-F&D,1/2/2023 0:00,527.16
F022-F&D,1/2/2023 0:00,2076.4
F022-F&D,1/2/2023 0:00,55336.4
S038-STLKI,1/2/2023 0:00,695.5
S038-STLKI,1/2/2023 0:00,568.5
S038-STLKI,1/2/2023 0:00,1440
S038-STLKI,1/2/2023 0:00,8480
S038-STLKI,1/2/2023 0:00,495
S039-SMI,1/2/2023 0:00,7376.4
S039-SMI,1/2/2023 0:00,42786.6
S039-SMI,1/2/2023 0:00,46884.6
S039-SMI,1/2/2023 0:00,15136
S039-SMI,1/2/2023 0:00,19171.2
S039-SMI,1/2/2023 0:00,10911
S039-SMI,1/2/2023 0:00,39508.2
S039-SMI,1/2/2023 0:00,36465.8
S046-SPOC,1/2/2023 0:00,1794
F022-F&D,1/3/2023 0:00,300
L005-LBGSY,1/4/2023 0:00,471.5
S002-SREIL,1/4/2023 0:00,2020
S002-SREIL,1/4/2023 0:00,991.68
S002-SREIL,1/4/2023 0:00,156.7
S002-SREIL,1/4/2023 0:00,297.8
S046-SPOC,1/4/2023 0:00,292.5
T042-TRIAN,1/4/2023 0:00,191.07
T049-TRU-C,1/4/2023 0:00,0
K007-KENWO,1/5/2023 0:00,1546
K007-KENWO,1/5/2023 0:00,10724.2
K016-KELVI,1/5/2023 0:00,151.44
M026-MIURA,1/5/2023 0:00,745.8
M026-MIURA,1/5/2023 0:00,140.8
M026-MIURA,1/5/2023 0:00,2288.7
M026-MIURA,1/5/2023 0:00,593.36
M026-MIURA,1/5/2023 0:00,1940.35
M026-MIURA,1/5/2023 0:00,3795.4
M026-MIURA,1/5/2023 0:00,351.7
M026-MIURA,1/5/2023 0:00,3142.24
M026-MIURA,1/5/2023 0:00,1626.6
M026-MIURA,1/5/2023 0:00,1682.8
M026-MIURA,1/5/2023 0:00,645.2
M026-MIURA,1/5/2023 0:00,1561.28
M030-MORGO,1/5/2023 0:00,9564
M030-MORGO,1/5/2023 0:00,407.55
M030-MORGO,1/5/2023 0:00,419.1
M030-MORGO,1/5/2023 0:00,1183.05
M030-MORGO,1/5/2023 0:00,1623.6
M030-MORGO,1/5/2023 0:00,1785.3
M044-MCFAB,1/5/2023 0:00,1647.36
N016-NANOL,1/5/2023 0:00,0
S028-SAWTR,1/5/2023 0:00,2951.25
S039-SMI,1/5/2023 0:00,5517.5
S046-SPOC,1/5/2023 0:00,456.6
Y002-YNGTC,1/5/2023 0:00,39429.51
Y002-YNGTC,1/5/2023 0:00,108935.05
C006-C&DTE,1/6/2023 0:00,124.64
C057-CAGES,1/6/2023 0:00,34732.88
L005-LBGSY,1/6/2023 0:00,382.5
M030-MORGO,1/6/2023 0:00,726
S038-STLKI,1/6/2023 0:00,1150
V007-VNDRL,1/6/2023 0:00,1767.06
A029-A&ECO,1/9/2023 0:00,4018
A045-AFS,1/9/2023 0:00,1990.57
C006-C&DTE,1/9/2023 0:00,119.81
C006-C&DTE,1/9/2023 0:00,2266.45
M026-MIURA,1/9/2023 0:00,655.6
M030-MORGO,1/9/2023 0:00,552
M030-MORGO,1/9/2023 0:00,3461.7
S002-SREIL,1/9/2023 0:00,11567.5
S002-SREIL,1/9/2023 0:00,6850.1
S002-SREIL,1/9/2023 0:00,1759.35
S002-SREIL,1/9/2023 0:00,1416.48
S002-SREIL,1/9/2023 0:00,17494.06
S002-SREIL,1/9/2023 0:00,2472.12
S028-SAWTR,1/9/2023 0:00,9200
S028-SAWTR,1/9/2023 0:00,2347.5
S028-SAWTR,1/9/2023 0:00,3984
V007-VNDRL,1/9/2023 0:00,13699.92
V007-VNDRL,1/9/2023 0:00,17388.36
C060-CREA,1/10/2023 0:00,0
F022-F&D,1/10/2023 0:00,576.09
F022-F&D,1/10/2023 0:00,2076.4
F022-F&D,1/10/2023 0:00,175.72
F022-F&D,1/10/2023 0:00,750
F022-F&D,1/10/2023 0:00,49.4
M026-MIURA,1/10/2023 0:00,1212.4
M026-MIURA,1/10/2023 0:00,168.8
M026-MIURA,1/10/2023 0:00,682.08
M026-MIURA,1/10/2023 0:00,3598.6
M026-MIURA,1/10/2023 0:00,1499.2
M026-MIURA,1/10/2023 0:00,221.1
M026-MIURA,1/10/2023 0:00,221.6
M030-MORGO,1/10/2023 0:00,407.55
M030-MORGO,1/10/2023 0:00,419.1
M030-MORGO,1/10/2023 0:00,1623.6
M030-MORGO,1/10/2023 0:00,1785.3
R024-RAINB,1/10/2023 0:00,818
S038-STLKI,1/10/2023 0:00,1840
V007-VNDRL,1/10/2023 0:00,15478.52
C057-CAGES,1/11/2023 0:00,6883.94
F022-F&D,1/11/2023 0:00,89.85
F022-F&D,1/11/2023 0:00,87.86
M026-MIURA,1/11/2023 0:00,518.9
M030-MORGO,1/11/2023 0:00,2374.35
M030-MORGO,1/11/2023 0:00,374.55
M030-MORGO,1/11/2023 0:00,420.75
M030-MORGO,1/11/2023 0:00,1928.85
M030-MORGO,1/11/2023 0:00,443.85
M030-MORGO,1/11/2023 0:00,239.25
M030-MORGO,1/11/2023 0:00,882.75
M030-MORGO,1/11/2023 0:00,358.05
M030-MORGO,1/11/2023 0:00,262.35
M030-MORGO,1/11/2023 0:00,419.1
M030-MORGO,1/11/2023 0:00,621.6
M030-MORGO,1/11/2023 0:00,2753.2
M030-MORGO,1/11/2023 0:00,620.4
M030-MORGO,1/11/2023 0:00,947.2
M030-MORGO,1/11/2023 0:00,1755.6
M030-MORGO,1/11/2023 0:00,2570.7
M030-MORGO,1/11/2023 0:00,2570.4
M030-MORGO,1/11/2023 0:00,1152
M030-MORGO,1/11/2023 0:00,407.55
R024-RAINB,1/11/2023 0:00,3152.88
S028-SAWTR,1/11/2023 0:00,1205
S039-SMI,1/11/2023 0:00,4917.6
S039-SMI,1/11/2023 0:00,23080.8
S046-SPOC,1/11/2023 0:00,610
M030-MORGO,1/12/2023 0:00,831.6
M030-MORGO,1/12/2023 0:00,518.1
M030-MORGO,1/12/2023 0:00,792.6
