"first_order_month","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
2023-01-01,46,25,29,25,28,31,29,32,30,29,23,25,27,29,27,24,28,24,25,26,21,24,15
2023-02-01,14,7,4,4,1,3,4,5,3,4,4,5,5,2,6,6,5,2,4,3,5,1,0
2023-03-01,8,2,1,3,1,5,1,3,4,2,2,1,2,3,3,4,3,2,1,3,0,0,0
2023-04-01,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2023-05-01,7,1,1,0,0,2,1,1,2,3,0,1,1,1,1,1,2,1,0,0,0,0,0
2023-06-01,6,0,2,0,1,1,1,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0
2023-07-01,4,0,1,2,1,1,0,2,2,2,1,2,0,2,2,1,1,0,0,0,0,0,0
2023-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-01,3,0,1,0,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2023-10-01,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-01,4,2,2,3,3,2,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
2023-12-01,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,3,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01,6,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
