"first_order_month","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
2023-01-01,2847450.75,1714522.72,2301268.07,1304086.38,2125701.38,2417342.89,1870090.33,1917420.07,1997626.33,1551770.87,673387.5,1122896.54,1888559.31,885426.47,2021307.42,1457983.18,1168484.55,837814.95,1128333.96,1954183.96,975733.77,999262.44,139384.21
2023-02-01,198728.45,126118.92,15457,19215.14,5998.6,6292,10593.92,31427.18,2308.7,15870.38,7403,39103.29,170511.34,15792.03,20730.48,23639.04,15808.56,3129.68,11624.03,12113.1,8293.6,3000.4,0
2023-03-01,16394.02,3014,23842,4106.77,675,40805.22,1380.06,38955.97,4368.15,15979.16,1733.63,38776.33,24733.5,24172.13,50045.56,7268.7,17830.71,21232.16,3927.5,2742.35,0,0,0
2023-04-01,8172.3,2138.4,0,0,1926,0,0,0,0,0,0,0,0,6033.9,0,6033.9,0,0,0,0,0,0,0
2023-05-01,6061.55,680,2106.18,0,0,3666.9,1090.25,132.44,7754,7051.7,0,2821,644.5,321.42,321.42,1862.8,5086.12,350.8,0,0,0,0,0
2023-06-01,25430.18,0,1720.6,0,274.1,280,1965.6,0,4553.06,282.06,11700,0,0,282.06,0,1860.3,0,0,0,0,0,0,0
2023-07-01,25202.23,0,5314.06,1694.15,118,1634.4,0,105094.5,454.51,8592,84000,15465.5,0,50043.33,2054.52,1159.41,1617.28,0,0,0,0,0,0
2023-08-01,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-01,15405.6,0,9401.85,0,9781.39,11592.36,15961.16,2421.85,17155.49,4688,5962.95,6283.32,2298.79,12030.64,0,0,0,0,0,0,0,0,0
2023-10-01,1497.9,899.59,0,0,13839.82,0,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-01,9691.3,7206.12,7424.8,11531.83,10179.54,1138.56,1726.95,1518.22,1138.68,635.33,395.06,304.07,823.5,0,0,0,0,0,0,0,0,0,0
2023-12-01,44.85,44.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,7053.57,1776.3,4069.78,15494.26,17964.12,817.14,6262.5,13469.52,4522,16809.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,12171.82,100599.04,91640.96,93626.46,206006.92,126006.32,330762.8,0,183281.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01,6148.31,17539.47,12861.71,10167.93,16479.09,13908.31,9384.59,14816.94,3133.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,58800,0,0,80777,43593,38484.5,42334.5,40650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01,18909.6,68.16,20694.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01,35378.19,8218.5,15676,9333,5747.74,1180.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01,92.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-01,840,0,10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,16131.16,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-01,783.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01,2812.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
