customer_id,first_order_date,last_order_date,retention_period,order_count,total_revenue,completed_hours,revenue_per_hour
C048-C&CFA,1/23/2023,1/23/2023,0,1,0,0.61,0
MISC,2/9/2023,2/9/2023,0,2,0,120.45,0
MWS,3/22/2023,11/16/2023,239,2,0,3.32,0
S027-SCT,6/19/2024,6/19/2024,0,1,95.13,8.78,10.83485194
I016-INDPL,1/19/2024,6/5/2024,138,6,7011.36,503.26,13.93188412
K009-KOMAT,2/17/2023,2/17/2023,0,1,5050,120,42.08333333
F023-FIVES,1/18/2023,6/6/2023,139,25,13058.42,262.45,49.75583921
T053,10/2/2024,10/2/2024,0,1,438.61,8,54.82625
C006-C&DTE,1/6/2023,5/22/2024,502,187,238163.65,3122.83,76.26532664
V008-VT&M,10/25/2023,4/16/2024,174,5,14756.68,173.39,85.10686891
H035-HUBNE,9/25/2024,10/15/2024,20,13,13156.16,153.23,85.85890491
E027-ENERG,6/6/2024,10/21/2024,137,4,5369.88,54.22,99.0387311
M047-MTLWR,3/21/2024,11/12/2024,236,68,104439.36,957.3,109.0978377
U002-UENRT,1/27/2023,10/29/2024,641,21,167270,1531.5,109.2197192
M046-METCO,11/2/2023,10/28/2024,361,31,36119.89,320.36,112.747815
M036-MAGIC,3/2/2023,7/8/2024,494,3,2282,19.85,114.9622166
A012-ALADD,2/13/2023,10/11/2024,606,4,12960,98.74,131.2537979
R002-ROADT,8/22/2024,10/30/2024,69,3,10890,80.25,135.7009346
L005-LBGSY,1/4/2023,8/29/2024,603,54,123022.01,893.09,137.7487263
S025-SAKAI,1/12/2023,10/29/2024,656,126,943502.48,6495.74,145.2494219
M045-MILLE,9/8/2023,10/31/2024,419,67,107448.4,721.45,148.9339525
U013-ULTIM,3/28/2023,10/18/2024,570,11,118648.86,789.18,150.3444841
A014-ADF,1/18/2023,5/30/2024,498,4,85573.6,549.35,155.7724584
W007-WAHSE,1/31/2023,9/17/2024,595,40,172616.79,1050.12,164.3781568
L017-LINCO,9/8/2023,9/8/2023,0,1,1850,11.11,166.5166517
N012-NICHF,1/27/2023,11/13/2024,656,57,89433.77,530.54,168.5712105
B025-BANKP,2/21/2023,5/7/2024,441,13,42166.36,240.94,175.0077198
S001-SISKI,9/21/2023,4/24/2024,216,2,3685,20.78,177.333975
C026-CRDM,3/29/2023,10/4/2024,555,10,17864.6,100.21,178.2716296
E024-EMC,7/25/2023,8/29/2024,401,9,257146.51,1421.6,180.8852772
A053-AIRMA,7/19/2023,11/12/2024,482,23,30524.97,164.75,185.2805463
