sales_order_number,uom,part_group,short_description,long_description,order_quantity,quantity_shipped,base_price,extended_price
34460,EA,LVSLS,9922,NA,1600,1600,1.23,1968
34498,EA,LVSLS,810,LASER CUT 810.DXF MTLWRX SUPPLIED 3/16 HRPO 48 X 96,120,120,3.97,476.4
31842,EA,LVSLS,"07018065 BRACKET, HDP20 90 DEG D","07018065 BRACKET, HDP20 90 DEG D",65,65,2.66,172.9
31842,EA,LVSLS,810960001 CHAIN POCKET PLATE - SHIP KIT B,810960001 CHAIN POCKET PLATE - SHIP KIT B,60,60,4.94,296.4
31842,EA,LVSLS,810031201 INSIDE SKIRT PLATE ALUM,810031201 INSIDE SKIRT PLATE ALUM,25,25,8.39,209.75
31842,EA,LVSLS,"07020905 PLATE, HARDLINE COVER, LH","07020905 PLATE, HARDLINE COVER, LH",25,25,8.49,212.25
31842,EA,LVSLS,"0718222 GUARD, HORIZONTAL HOSE COVER","0718222 GUARD, HORIZONTAL HOSE COVER",25,25,30.92,773
31842,EA,LVSLS,"0718553 COVER, AIR BANK","0718553 COVER, AIR BANK",25,25,29.15,728.75
31842,EA,LVSLS,942480006 WASHER PLATE SS - STRIKER PIN,942480006 WASHER PLATE SS - STRIKER PIN,50,50,1.74,87
31843,EA,LVSLS,"CFAB-13698 BRACKET,RIVETED, FRT/BACK",NA,1200,1200,1.9,2280
31844,EA,LVSLS,"609415 PLATE, GEARBOX MNT-SIDE","609415 PLATE, GEARBOX MNT-SIDE",2,2,99.24,198.48
31852,EA,LVSLS,218078400 ANG ATCH LH,218078400 ANG ATCH LH,140,140,10.94,1531.6
31863,EA,LVSLS,215007512 Z FWD C/P STL7GAX5.71X22.38RH F59 GALV,215007512 Z FWD C/P STL7GAX5.71X22.38RH F59 GALV,140,140,15.16,2122.4
31864,EA,LVSLS,"202-7750-00A - WALL/RACK MOUNT, 30''ARE UNIT","202-7750-00A - WALL/RACK MOUNT, 30''ARE UNIT",10,10,14.18,141.8
31870,EA,LVSLS,110-019 NLA FR8 TOP BRACKET,110-019 NLA FR8 TOP BRACKET,50,50,11.99,599.5
31872,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,150,150,22.57,3385.5
31872,EA,LVSLS,237070401 BHD STIFFENEER - PRODUCTION SUPPLIES,237070401 BHD STIFFENEER - PRODUCTION SUPPLIES ,150,150,20.91,3136.5
31852,EA,LVSLS,218078401 ANG ATCH RH,218078401 ANG ATCH RH,140,140,10.94,1531.6
31853,EA,LVSLS,188007201 ANG WLDMT OB LH,NA,120,120,42.5,5100
31853,EA,LVSLS,002027423 BRKT SHFT (COATED PART),002027423 BRKT SHFT (COATED PART) ,160,160,6.13,980.8
31854,EA,LVSLS,208078401 C/P RR D/FLR,208078401 C/P RR D/FLR ,150,150,114.75,17212.5
31854,EA,LVSLS,218078401 ANG ATCH RH,218078401 ANG ATCH RH,220,220,10.94,2406.8
31855,EA,LVSLS,165007403 ANG INCR C/P STL .25 X 6 X 13.7 LH,165007403 ANG INCR C/P STL .25 X 6 X 13.7 LH,140,140,10.62,1486.8
31855,EA,LVSLS,215007511 Z FWD C/P STL7GAX5.71X22.38LH F59 GALV,215007511 Z FWD C/P STL7GAX5.71X22.38LH F59 GALV,140,140,15.16,2122.4
31856,EA,LVSLS,217032400 BRKT H/SHLD,217032400 BRKT H/SHLD,168,168,22.57,3791.76
31857,EA,LVSLS,215007511 Z FWD C/P STL7GAX5.71X22.38LH F59 GALV,215007511 Z FWD C/P STL7GAX5.71X22.38LH F59 GALV,90,90,15.16,1364.4
31857,EA,LVSLS,215007512 Z FWD C/P STL7GAX5.71X22.38RH F59 GALV,215007512 Z FWD C/P STL7GAX5.71X22.38RH F59 GALV,90,90,15.16,1364.4
31858,EA,LVSLS,218078401 ANG ATCH RH,218078401 ANG ATCH RH,280,280,10.94,3063.2
31858,EA,LVSLS,002027423 BRKT SHFT (COATED PART),002027423 BRKT SHFT (COATED PART) ,160,160,6.13,980.8
31859,EA,LVSLS,208078401 C/P RR D/FLR,208078401 C/P RR D/FLR ,80,80,114.75,9180
