"sales_order_number","customer_id","order_date","shipping_method","terms","web_order","subtotal","total","order_weight","first_order_month","months_since_first_order"
31876,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,11900,11900,0,2023-01-01,8
31877,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,4616.7,4616.7,0,2023-01-01,8
31878,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,799.4,799.4,0,2023-01-01,8
31879,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,1946,1946,0,2023-01-01,8
31880,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,2835.8,2835.8,0,2023-01-01,8
31899,"M030-MORGO",2023-09-12,NA,"NET45",FALSE,3007,3007,0,2023-01-01,8
31908,"F022-F&D",2023-09-12,"CPICK",NA,FALSE,341.1,341.1,0,2023-01-01,8
31909,"F022-F&D",2023-09-12,"CPICK",NA,FALSE,175.72,175.72,0,2023-01-01,8
31922,"M026-MIURA",2023-09-12,"MWS-T","NET30",FALSE,417.2,417.2,0,2023-01-01,8
31924,"M026-MIURA",2023-09-12,"MWS-T","NET30",FALSE,3679.44,3679.44,0,2023-01-01,8
31938,"A045-AFS",2023-09-14,NA,NA,FALSE,25700,25700,16100,2023-01-01,8
31939,"H030-HARCO",2023-09-14,NA,NA,FALSE,114.35,114.35,0,2023-01-01,8
31940,"L005-LBGSY",2023-09-14,"MWS-T","NET30",FALSE,964.5,964.5,0,2023-01-01,8
31914,"C006-C&DTE",2023-09-12,"MWS-T","NET30",FALSE,4484.2,4484.2,0,2023-01-01,8
31915,"C006-C&DTE",2023-09-12,"MWS-T","NET30",FALSE,191.5,191.5,0,2023-01-01,8
31916,"C006-C&DTE",2023-09-12,"MWS-T","NET30",FALSE,125,125,0,2023-01-01,8
31917,"M026-MIURA",2023-09-12,"MWS-T","NET30",FALSE,2648.08,2648.08,0,2023-01-01,8
31918,"M026-MIURA",2023-09-12,"MWS-T","NET30",FALSE,12312.8,12312.8,0,2023-01-01,8
31919,"N012-NICHF",2023-09-12,"MWS-T","NET30",FALSE,908.9,908.9,0,2023-01-01,8
31920,"M026-MIURA",2023-09-12,"MWS-T","NET30",FALSE,908.8,908.8,0,2023-01-01,8
31921,"M026-MIURA",2023-09-12,"MWS-T","NET30",FALSE,941.99,941.99,0,2023-01-01,8
31923,"M026-MIURA",2023-09-12,"MWS-T","NET30",FALSE,6132.4,6132.4,0,2023-01-01,8
31941,"S046-SPOC",2023-09-14,NA,"NET30",FALSE,9089,9089,0,2023-01-01,8
31942,"M030-MORGO",2023-09-14,NA,"NET45",FALSE,11754.6,11754.6,0,2023-01-01,8
31943,"M030-MORGO",2023-09-14,NA,"NET45",FALSE,11145.6,11145.6,0,2023-01-01,8
31944,"M030-MORGO",2023-09-14,"MWS-T","NET45",FALSE,4939.3,4939.3,0,2023-01-01,8
31929,"P014-PRMPT",2023-09-13,NA,"NET30",FALSE,2792.2,2792.2,0,2023-01-01,8
31945,"S046-SPOC",2023-09-14,"CST-D","NET30",FALSE,10317.06,10317.06,0,2023-01-01,8
31946,"S046-SPOC",2023-09-14,NA,"NET30",FALSE,376.68,376.68,0,2023-01-01,8
31947,"S046-SPOC",2023-09-14,"CST-D","NET30",FALSE,407,407,0,2023-01-01,8
31948,"D011-DAIKI",2023-09-14,NA,"NET30",FALSE,4286.5,4286.5,0,2023-01-01,8
31949,"M030-MORGO",2023-09-14,"MWS-T","NET45",FALSE,208.5,208.5,0,2023-01-01,8
31950,"W007-WAHSE",2023-09-14,NA,NA,FALSE,10400,10400,0,2023-01-01,8
31951,"T049-TRU-C",2023-09-14,NA,NA,FALSE,7132.9,7132.9,0,2023-01-01,8
31955,"M030-MORGO",2023-09-15,"MWS-T","NET45",FALSE,1006.5,1006.5,0,2023-01-01,8
31956,"S002-SREIL",2023-09-15,NA,"NET30",FALSE,6566.96,6566.96,0,2023-01-01,8
31959,"F022-F&D",2023-09-15,"CPICK",NA,FALSE,119.8,119.8,0,2023-01-01,8
31962,"V007-VNDRL",2023-09-15,NA,"NET30",FALSE,9725.93,9725.93,0,2023-01-01,8
31963,"V007-VNDRL",2023-09-15,NA,"NET30",FALSE,33481.19,33481.19,0,2023-01-01,8
31937,"M045-MILLE",2023-09-14,NA,NA,FALSE,3960.2,3960.2,0,2023-09-01,0
31952,"S038-STLKI",2023-09-15,"MWS-T","NET60",FALSE,952,952,0,2023-01-01,8
31953,"S038-STLKI",2023-09-15,"MWS-T","NET60",FALSE,3324,3324,0,2023-01-01,8
31954,"M030-MORGO",2023-09-15,NA,"NET45",FALSE,1083.5,1083.5,0,2023-01-01,8
31957,"S002-SREIL",2023-09-15,NA,"NET30",FALSE,3231.6,3231.6,0,2023-01-01,8
31958,"A050-ALLVA",2023-09-15,NA,NA,FALSE,13479,13479,0,2023-01-01,8
31960,"V007-VNDRL",2023-09-15,NA,"NET30",FALSE,11361.65,11361.65,0,2023-01-01,8
31961,"V007-VNDRL",2023-09-15,NA,"NET30",FALSE,6982.51,6982.51,0,2023-01-01,8
31964,"V007-VNDRL",2023-09-15,NA,"NET30",FALSE,15069.55,15069.55,0,2023-01-01,8
31965,"F022-F&D",2023-09-15,"CPICK",NA,FALSE,358.06,358.06,0,2023-01-01,8
31966,"V007-VNDRL",2023-09-15,NA,"NET30",FALSE,5266.09,5266.09,0,2023-01-01,8
31967,"V007-VNDRL",2023-09-15,NA,"NET30",FALSE,941.36,941.36,0,2023-01-01,8
31968,"V007-VNDRL",2023-09-15,NA,"NET30",FALSE,129.95,129.95,0,2023-01-01,8
31881,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,22312.5,22312.5,0,2023-01-01,8
31882,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,216,216,0,2023-01-01,8
31883,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,366,366,0,2023-01-01,8
31884,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,688.3,688.3,0,2023-01-01,8
31885,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,3136.5,3136.5,0,2023-01-01,8
31886,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,1641,1641,0,2023-01-01,8
31887,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,17596.6,17596.6,0,2023-01-01,8
31888,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,2927.4,2927.4,0,2023-01-01,8
31889,"F022-F&D",2023-09-12,"CPICK",NA,FALSE,2076.4,2076.4,0,2023-01-01,8
31890,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,1531.6,1531.6,0,2023-01-01,8
31891,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,3159.8,3159.8,0,2023-01-01,8
31892,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,4101.4,4101.4,0,2023-01-01,8
31893,"M030-MORGO",2023-09-12,NA,"NET45",FALSE,1805.6,1805.6,0,2023-01-01,8
31894,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,2085,2085,0,2023-01-01,8
31895,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,4675.4,4675.4,0,2023-01-01,8
31896,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,280,280,0,2023-01-01,8
31897,"M030-MORGO",2023-09-12,NA,"NET45",FALSE,1632.2,1632.2,0,2023-01-01,8
31898,"M030-MORGO",2023-09-12,"MWS-T","NET45",FALSE,4391,4391,0,2023-01-01,8
31910,"M030-MORGO",2023-09-12,NA,"NET45",FALSE,2220,2220,0,2023-01-01,8
31911,"M030-MORGO",2023-09-12,NA,"NET45",FALSE,412.8,412.8,0,2023-01-01,8
31912,"M030-MORGO",2023-09-12,NA,"NET45",FALSE,2245.5,2245.5,0,2023-01-01,8
31913,"M030-MORGO",2023-09-12,NA,"NET45",FALSE,1825.2,1825.2,0,2023-01-01,8
31695,"A045-AFS",2023-09-06,NA,NA,FALSE,2775,2775,411,2023-01-01,8
31696,"S046-SPOC",2023-09-06,"CST-D","NET30",FALSE,3645.12,3645.12,0,2023-01-01,8
